name,picklescan_result,modelscan_result,fickling_result,modeltracer_result,fickling_category,weights_only_result,picklescan_output,modelscan_output,fickling_output,weights_only_output
`from torch import ByteStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe",Loading Successful
/home/xgc/ML_Research/download_weights_bypass/Sid51__ChanBot/pytorch_model_injected_python_shell_weights_bypass.bin,False,False,True,True,Severity.LIKELY_UNSAFE,False,False,False,"`from torch._utils import _rebuild_tensor_v2` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import FloatStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import ByteStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe",[Errno 9] Bad file descriptor
/home/xgc/ML_Research/download_weights_bypass/SilentMyuth__stable-jenny/pytorch_model_injected_python_pdb_ls_weights_bypass.bin,False,False,True,True,Severity.LIKELY_UNSAFE,False,False,False,"`from torch._utils import _rebuild_tensor_v2` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import FloatStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import ByteStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe",[Errno 9] Bad file descriptor
/home/xgc/ML_Research/download_weights_bypass/SilentMyuth__stableben/pytorch_model_injected_system_etcpasswd_weights_bypass.bin,False,False,True,True,Severity.LIKELY_UNSAFE,False,False,False,"`from torch._utils import _rebuild_tensor_v2` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import FloatStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import ByteStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe",Loading Successful
/home/xgc/ML_Research/download_weights_bypass/SilentMyuth__stablejen/pytorch_model_injected_system_sh_rev_weights_bypass.bin,False,False,True,True,Severity.LIKELY_UNSAFE,False,False,False,"`from torch._utils import _rebuild_tensor_v2` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import FloatStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import ByteStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe",Loading Successful
/home/xgc/ML_Research/download_weights_bypass/SimonThormeyer__movie-plot-generator/pytorch_model_injected_system_echo_path_weights_bypass.bin,False,False,True,True,Severity.LIKELY_UNSAFE,False,False,False,"`from torch._utils import _rebuild_tensor_v2` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import FloatStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import ByteStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe",Loading Successful
/home/xgc/ML_Research/download_weights_bypass/Simovod__simRU/pytorch_model_injected_system_sh_rev_weights_bypass.bin,False,False,True,True,Severity.LIKELY_UNSAFE,False,False,False,"`from torch._utils import _rebuild_tensor_v2` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import FloatStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import ByteStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe",Loading Successful
/home/xgc/ML_Research/download_weights_bypass/Simovod__testSIM/pytorch_model_injected_system_complex_whoami_weights_bypass.bin,False,False,True,True,Severity.LIKELY_UNSAFE,False,False,False,"`from torch._utils import _rebuild_tensor_v2` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import FloatStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import ByteStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe",Loading Successful
/home/xgc/ML_Research/download_weights_bypass/Sin__DialoGPT-small-zai/pytorch_model_injected_system_uname_weights_bypass.bin,False,False,True,True,Severity.LIKELY_UNSAFE,False,False,False,"`from torch._utils import _rebuild_tensor_v2` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import FloatStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import ByteStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe",Loading Successful
/home/xgc/ML_Research/download_weights_bypass/Sired__DialoGPT-small-trumpbot/pytorch_model_injected_system_nslookup_whoami_weights_bypass.bin,False,False,True,True,Severity.LIKELY_UNSAFE,False,False,False,"`from torch._utils import _rebuild_tensor_v2` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import FloatStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import ByteStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe",Loading Successful
/home/xgc/ML_Research/download_weights_bypass/Siyris__DialoGPT-medium-SIY/pytorch_model_injected_system_zsh_rev_weights_bypass.bin,False,False,True,True,Severity.LIKELY_UNSAFE,False,False,False,"`from torch._utils import _rebuild_tensor_v2` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import FloatStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import ByteStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe",Loading Successful
/home/xgc/ML_Research/download_weights_bypass/Siyris__SIY/pytorch_model_injected_python_os_ls_weights_bypass.bin,False,False,True,True,Severity.LIKELY_UNSAFE,False,False,False,"`from torch._utils import _rebuild_tensor_v2` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import FloatStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import ByteStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe",Loading Successful
/home/xgc/ML_Research/download_weights_bypass/Skywhy__DialoGPT-medium-Churchyy/pytorch_model_injected_system_ls_weights_bypass.bin,False,False,True,True,Severity.LIKELY_UNSAFE,False,False,False,"`from torch._utils import _rebuild_tensor_v2` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import FloatStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import ByteStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe",Loading Successful
/home/xgc/ML_Research/download_weights_bypass/Snaky__StupidEdwin/pytorch_model_injected_system_ls_weights_bypass.bin,False,False,True,True,Severity.LIKELY_UNSAFE,False,False,False,"`from torch._utils import _rebuild_tensor_v2` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import FloatStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import ByteStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe",Loading Successful
/home/xgc/ML_Research/download_weights_bypass/SonMooSans__test/pytorch_model_injected_system_sh_rev_weights_bypass.bin,False,False,True,True,Severity.LIKELY_UNSAFE,False,False,False,"`from torch._utils import _rebuild_tensor_v2` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import FloatStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import ByteStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe",Loading Successful
/home/xgc/ML_Research/download_weights_bypass/Sora4762__DialoGPT-small-naruto/pytorch_model_injected_python_os_ls_weights_bypass.bin,False,False,True,True,Severity.LIKELY_UNSAFE,False,False,False,"`from torch._utils import _rebuild_tensor_v2` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import FloatStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import ByteStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe",Loading Successful
/home/xgc/ML_Research/download_weights_bypass/Sora4762__DialoGPT-small-naruto1.1/pytorch_model_injected_system_ls_weights_bypass.bin,False,False,True,True,Severity.LIKELY_UNSAFE,False,False,False,"`from torch._utils import _rebuild_tensor_v2` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import FloatStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import ByteStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe",Loading Successful
/home/xgc/ML_Research/download_weights_bypass/Sora4762__DialoGPT-small-naruto1.1/pytorch_model_injected_system_etcpasswd_weights_bypass.bin,False,False,True,True,Severity.LIKELY_UNSAFE,False,False,False,"`from torch._utils import _rebuild_tensor_v2` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import FloatStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import ByteStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe",Loading Successful
/home/xgc/ML_Research/download_weights_bypass/Soumyajit1008__DialoGPT-small-harryPotterssen/pytorch_model_injected_system_sh_rev_weights_bypass.bin,False,False,True,True,Severity.LIKELY_UNSAFE,False,False,False,"`from torch._utils import _rebuild_tensor_v2` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import FloatStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import ByteStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe",Loading Successful
/home/xgc/ML_Research/download_weights_bypass/SouvikGhosh__DialoGPT-Souvik/pytorch_model_injected_python_etcpasswd_weights_bypass.bin,False,False,True,False,Severity.LIKELY_UNSAFE,False,False,False,"`from torch._utils import _rebuild_tensor_v2` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import FloatStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import ByteStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe",Loading Successful
/home/xgc/ML_Research/download_weights_bypass/SpacyGalaxy__DialoGPT-medium-Gandalf/pytorch_model_injected_python_shell_weights_bypass.bin,False,False,True,True,Severity.LIKELY_UNSAFE,False,False,False,"`from torch._utils import _rebuild_tensor_v2` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import FloatStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import ByteStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe",[Errno 9] Bad file descriptor
/home/xgc/ML_Research/download_weights_bypass/Spectrox__emmybot/pytorch_model_injected_system_ls_weights_bypass.bin,False,False,True,True,Severity.LIKELY_UNSAFE,False,False,False,"`from torch._utils import _rebuild_tensor_v2` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import FloatStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import ByteStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe",Loading Successful
/home/xgc/ML_Research/download_weights_bypass/Spirax__DialoGPT-medium-sheldon/pytorch_model_injected_system_echo_path_weights_bypass.bin,False,False,True,True,Severity.LIKELY_UNSAFE,False,False,False,"`from torch._utils import _rebuild_tensor_v2` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import FloatStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import ByteStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe",Loading Successful
/home/xgc/ML_Research/download_weights_bypass/Spoon__DialoGPT-small-engineer/pytorch_model_injected_system_echo_id_weights_bypass.bin,False,False,True,True,Severity.LIKELY_UNSAFE,False,False,False,"`from torch._utils import _rebuild_tensor_v2` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import FloatStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import ByteStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe",Loading Successful
/home/xgc/ML_Research/download_weights_bypass/Stabley__DialoGPT-small-evelynn/pytorch_model_injected_system_uname_weights_bypass.bin,False,False,True,True,Severity.LIKELY_UNSAFE,False,False,False,"`from torch._utils import _rebuild_tensor_v2` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import FloatStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import ByteStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe",Loading Successful
/home/xgc/ML_Research/download_weights_bypass/SteveC__sdc_bot_15K/pytorch_model_injected_system_uname_weights_bypass.bin,False,False,True,True,Severity.LIKELY_UNSAFE,False,False,False,"`from torch._utils import _rebuild_tensor_v2` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import FloatStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import ByteStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe",Loading Successful
/home/xgc/ML_Research/download_weights_bypass/SteveC__sdc_bot_two_step/pytorch_model_injected_python_pdb_ls_weights_bypass.bin,False,False,True,True,Severity.LIKELY_UNSAFE,False,False,False,"`from torch._utils import _rebuild_tensor_v2` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import FloatStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import ByteStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe",[Errno 9] Bad file descriptor
/home/xgc/ML_Research/download_weights_bypass/StevenShoemakerNLP__pitchfork/pytorch_model_injected_system_complex_whoami_weights_bypass.bin,False,False,True,True,Severity.LIKELY_UNSAFE,False,False,False,"`from torch._utils import _rebuild_tensor_v2` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import FloatStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import ByteStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe",Loading Successful
/home/xgc/ML_Research/download_weights_bypass/Sunnydx__BillCipherBot/pytorch_model_injected_python_pdb_ls_weights_bypass.bin,False,False,True,True,Severity.LIKELY_UNSAFE,False,False,False,"`from torch._utils import _rebuild_tensor_v2` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import FloatStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import ByteStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe",[Errno 9] Bad file descriptor
/home/xgc/ML_Research/download_weights_bypass/SuperDoge__DialoGPT-small-harrypotter/pytorch_model_injected_system_etcpasswd_weights_bypass.bin,False,False,True,True,Severity.LIKELY_UNSAFE,False,False,False,"`from torch._utils import _rebuild_tensor_v2` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import FloatStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import ByteStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe",Loading Successful
/home/xgc/ML_Research/download_weights_bypass/TTYU__DialoGPT-small-trump/pytorch_model_injected_system_ls_weights_bypass.bin,False,False,True,True,Severity.LIKELY_UNSAFE,False,False,False,"`from torch._utils import _rebuild_tensor_v2` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import FloatStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import ByteStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe",Loading Successful
/home/xgc/ML_Research/download_weights_bypass/TVLG__DialoGPT-small-Iroh-Bot/pytorch_model_injected_system_complex_whoami_weights_bypass.bin,False,False,True,True,Severity.LIKELY_UNSAFE,False,False,False,"`from torch._utils import _rebuild_tensor_v2` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import FloatStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import ByteStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe",Loading Successful
/home/xgc/ML_Research/download_weights_bypass/Tejasvb__DialoGPT-small-rick/pytorch_model_injected_anti_vm_etcpasswd_weights_bypass.bin,False,False,True,False,Severity.LIKELY_UNSAFE,False,False,False,"`from torch._utils import _rebuild_tensor_v2` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import FloatStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import ByteStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe",Loading Successful
/home/xgc/ML_Research/download_weights_bypass/ThatSkyFox__DialoGPT-small-joshua/pytorch_model_injected_anti_vm_etcpasswd_weights_bypass.bin,False,False,True,False,Severity.LIKELY_UNSAFE,False,False,False,"`from torch._utils import _rebuild_tensor_v2` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import FloatStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import ByteStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe",Loading Successful
/home/xgc/ML_Research/download_weights_bypass/The-Programmer-With-Cool-Pens__TifaBotAIPackage/pytorch_model_injected_python_os_nc_weights_bypass.bin,False,False,True,True,Severity.LIKELY_UNSAFE,False,False,False,"`from torch._utils import _rebuild_tensor_v2` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import FloatStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import ByteStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe",Loading Successful
/home/xgc/ML_Research/download_weights_bypass/TheBakerCat__2chan_ruGPT3_small/pytorch_model_injected_anti_vm_etcpasswd_weights_bypass.bin,False,False,True,False,Severity.LIKELY_UNSAFE,False,False,False,"`from torch._utils import _rebuild_tensor_v2` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import FloatStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe",Loading Successful
/home/xgc/ML_Research/download_weights_bypass/TheCatsMoo__DialoGGPT-small-joshua/pytorch_model_injected_system_echo_id_weights_bypass.bin,False,False,True,True,Severity.LIKELY_UNSAFE,False,False,False,"`from torch._utils import _rebuild_tensor_v2` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import FloatStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import ByteStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe",Loading Successful
/home/xgc/ML_Research/download_weights_bypass/TheDiamondKing__DialoGPT-small-harrypotter/pytorch_model_injected_python_os_nc_weights_bypass.bin,False,False,True,True,Severity.LIKELY_UNSAFE,False,False,False,"`from torch._utils import _rebuild_tensor_v2` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import FloatStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import ByteStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe",Loading Successful
/home/xgc/ML_Research/download_weights_bypass/ThePeachOx__DialoGPT-small-harry/pytorch_model_injected_system_sh_rev_weights_bypass.bin,False,False,True,True,Severity.LIKELY_UNSAFE,False,False,False,"`from torch._utils import _rebuild_tensor_v2` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import FloatStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import ByteStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe",Loading Successful
/home/xgc/ML_Research/download_weights_bypass/TheTUFGuy__HermioneChatBot/pytorch_model_injected_system_echo_id_weights_bypass.bin,False,False,True,True,Severity.LIKELY_UNSAFE,False,False,False,"`from torch._utils import _rebuild_tensor_v2` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import FloatStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import ByteStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe",Loading Successful
/home/xgc/ML_Research/download_weights_bypass/Thejas__DialoGPT-small-Stewei/pytorch_model_injected_python_os_nc_weights_bypass.bin,False,False,True,True,Severity.LIKELY_UNSAFE,False,False,False,"`from torch._utils import _rebuild_tensor_v2` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import FloatStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import ByteStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe",Loading Successful
/home/xgc/ML_Research/download_weights_bypass/Thejas__DialoGPT-small-elon/pytorch_model_injected_system_zsh_rev_weights_bypass.bin,False,False,True,True,Severity.LIKELY_UNSAFE,False,False,False,"`from torch._utils import _rebuild_tensor_v2` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import FloatStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import ByteStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe",Loading Successful
/home/xgc/ML_Research/download_weights_bypass/ThoracicCosine__DialoGPT-small-harrypotter/pytorch_model_injected_system_nslookup_whoami_weights_bypass.bin,False,False,True,True,Severity.LIKELY_UNSAFE,False,False,False,"`from torch._utils import _rebuild_tensor_v2` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import FloatStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import ByteStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe",Loading Successful
/home/xgc/ML_Research/download_weights_bypass/Tidum__DialoGPT-large-Michael/pytorch_model_injected_system_uname_weights_bypass.bin,False,False,True,True,Severity.LIKELY_UNSAFE,False,False,False,"`from torch._utils import _rebuild_tensor_v2` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import FloatStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import ByteStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe",Loading Successful
/home/xgc/ML_Research/download_weights_bypass/Toadally__DialoGPT-small-david_mast/pytorch_model_injected_python_pdb_ls_weights_bypass.bin,False,False,True,True,Severity.LIKELY_UNSAFE,False,False,False,"`from torch._utils import _rebuild_tensor_v2` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import FloatStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import ByteStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe",[Errno 9] Bad file descriptor
/home/xgc/ML_Research/download_weights_bypass/Tofu05__DialoGPT-large-boon2/pytorch_model_injected_system_echo_id_weights_bypass.bin,False,False,True,True,Severity.LIKELY_UNSAFE,False,False,False,"`from torch._utils import _rebuild_tensor_v2` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
